Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Greenwood/Phinney Ridge,7613 Greenwood Ave N,Seattle,WA,98103,1928,1,No visible retrofit,Commercial,1-10,Photos from Previous Surveys,POINT (-122.355301 47.68444)
Medium Risk,Capitol Hill,1215 Seneca St,Seattle,WA,98101,1928,5,Permitted Retrofit,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.324539 47.611554)
Medium Risk,First Hill,1520 5th Ave,Seattle,WA,98101,1900,3,No visible retrofit,Commercial/Office,11-100,Permit Drawing Review,POINT (-122.33602100000002 47.61116700000001)
Medium Risk,Univ Dist,4235 Brooklyn Ave NE,Seattle,WA,98105,1928,3,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.314337 47.659398)
Medium Risk,Pioneer Square/Chinatown International District,418 7th Ave S,Seattle,WA,98104,1916,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.323755 47.59898900000001)
Critical Risk,Ballard,5201 Ballard Ave NW,Seattle,WA,98107,1915,2,Substantial Alteration,Schools,101+,Field Visit,POINT (-122.38218000000002 47.665562)
High Risk,Univ Dist,4740 17th Ave NE,Seattle,WA,98105,1920,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.30950100000001 47.664679)
Medium Risk,Central Area/Squire Park,1658 20th Ave,Seattle,WA,98122,1919,1,Substantial Alteration,Office,11-100,Google Street View,POINT (-122.30614300000002 47.616867)
Medium Risk,Central Area/Squire Park,1841 16th Ave,Seattle,WA,98122,1906,4,Substantial Alteration,Residential,11-100,Permit Drawing Review,POINT (-122.311448 47.618139)
Medium Risk,Ballard,5000 20th Ave NW,Seattle,WA,98107,1900,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.38215400000001 47.665916)
Medium Risk,Whittier Heights,6757 8th Ave NW,Seattle,WA,98117,1950,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.36611799999999 47.679337)
Medium Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1890,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.321437 47.575484)
Medium Risk,Duwamish/SODO,1563 6th Ave S,Seattle,WA,98134,1931,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.32598700000001 47.588737)
Medium Risk,Belltown,3016 1st Ave,Seattle,WA,98121,1910,4,Permitted Retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.35455200000001 47.618114)
Medium Risk,Duwamish/SODO,1956 1st Ave S,Seattle,WA,98134,1930,1,Substantial Alteration,Commercial,11-100,Photos from Previous Surveys,POINT (-122.334215 47.58439)
High Risk,Pioneer Square/Chinatown International District,206 1st Ave S,Seattle,WA,98104,1903,5,Substantial Alteration,Commercial/Office,101+,Field Visit,POINT (-122.33412100000001 47.600588)
Medium Risk,Licton Springs,9710 Aurora Ave N,Seattle,WA,98103,1948,1,Visible retrofit,Commercial,11-100,Google Street View-Rosettes,POINT (-122.34454500000001 47.699940000000005)
High Risk,Duwamish/SODO,55 S Atlantic St,Seattle,WA,98134,1904,4,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.33723400000001 47.590645)
Medium Risk,Pioneer Square/Chinatown International District,312 1st Ave S,Seattle,WA,98104,1900,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.334137 47.599581)
Critical Risk,Judkins Park,1902 S Main St,Seattle,WA,98144,1920,1,Visible retrofit,Schools,11-100,Google Street View,POINT (-122.30763000000002 47.59997)
Medium Risk,Miller Park,128 16th Ave E,Seattle,WA,98112,1906,2,No visible retrofit,Office,11-100,Sandborn Insurance Maps,POINT (-122.31142 47.619431)
Medium Risk,Queen Anne,115 W Olympic Pl,Seattle,WA,98119,1909,4,Visible retrofit,Residential,101+,Google Street View,POINT (-122.358928 47.626725)
Medium Risk,Queen Anne,2128 Queen Anne Ave N,Seattle,WA,98109,1933,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.356935 47.638144)
Medium Risk,Univ Dist,4247 University Way NE,Seattle,WA,98105,1921,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31317599999998 47.659606000000004)
Medium Risk,Cascade/Eastlake,2600 3rd Ave,Seattle,WA,98121,1911,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.348246 47.616746)
Medium Risk,Duwamish/SODO,5050 1st Ave S,Seattle,WA,98134,1938,1,Substantial Alteration,Office,11-100,Google Street View,POINT (-122.3342 47.556148)
Medium Risk,Capitol Hill,215 13th Ave E,Seattle,WA,98102,1909,3,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.31563400000002 47.620435)
High Risk,Queen Anne,602 Valley St,Seattle,WA,98109,1928,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.344956 47.626254)
Medium Risk,Greenwood/Phinney Ridge,7601 Greenwood Ave N,Seattle,WA,98103,1928,1,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.35530000000001 47.68424)
Medium Risk,Pioneer Square/Chinatown International District,515 Maynard Ave S,Seattle,WA,98104,1910,4,No visible retrofit,Commercial/Residential,101+,,POINT (-122.32508299999999 47.597851)
Medium Risk,Capitol Hill,501 E Pine St,Seattle,WA,98122,1912,3,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.325192 47.615241000000005)
Medium Risk,Wallingford,712 NE 45th St,Seattle,WA,98105,1934,1,No visible retrofit,Public Assembly,11-100,White Card Permit Records,POINT (-122.3199 47.661319)
Medium Risk,Columbia City,5609 Rainier Ave S,Seattle,WA,98118,1920,2,No visible retrofit,Residential,1-10,Field Visit,POINT (-122.277946 47.551662)
Medium Risk,Pioneer Square/Chinatown International District,701 S Jackson St,Seattle,WA,98104,1910,1,No visible retrofit,Commercial,1-10,Field Visit,POINT (-122.323358 47.599184)
Critical Risk,Univ Dist,4276 E Stevens Way NE,Seattle,WA,98195,1926,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,
Medium Risk,Capitol Hill,713 E Pike St,Seattle,WA,98122,1911,3,No visible retrofit,Other Mixed Uses,11-100,Photos from Previous Surveys,POINT (-122.32276500000002 47.614061)
High Risk,Ravenna/Bryant,5801 Sand Point Way NE,Seattle,WA,98105,0,3,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.27021600000002 47.670713)
High Risk,West Seattle Junction/Genesee Hill,4304 SW Dakota St,Seattle,WA,98116,1930,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.387152 47.566583)
Medium Risk,Ballard,5232 Ballard Ave NW,Seattle,WA,98107,1903,3,Permitted Retrofit,Commercial,101+,Permit Drawing Review,POINT (-122.38247500000001 47.665822)
Medium Risk,Northgate/Maple Leaf,8511 15th Ave NE,Seattle,WA,98115,1928,2,No visible retrofit,Vacant,,Permit Drawing Review,POINT (-122.312232 47.690789)
Critical Risk,Laurelhurst/Sand Point,6200 NE 74th St,Seattle,WA,98115,1937,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.26243699999999 47.682142)
Medium Risk,Pioneer Square/Chinatown International District,204 3rd Ave S,Seattle,WA,98104,1905,4,Visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.330283 47.600704)
Medium Risk,Downtown,524 2nd Ave,Seattle,WA,98104,1900,5,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.332143 47.601867)
Critical Risk,Ballard,5800 15th Ave NW,Seattle,WA,98107,1922,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.376217 47.671269)
Critical Risk,Queen Anne,3307 3rd Ave W,Seattle,WA,98119,1940,2,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.360883 47.650056)
Medium Risk,Pioneer Square/Chinatown International District,118 S Washington St,Seattle,WA,98104,1900,2,Permitted Retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.333338 47.600892)
High Risk,Univ Dist,4329 University Way NE,Seattle,WA,98105,1921,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.313148 47.660699)
Medium Risk,Cascade/Eastlake,112 5th Ave N,Seattle,WA,98109,1905,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.34761000000002 47.619073)
Medium Risk,Cascade/Eastlake,415 Bell St,Seattle,WA,98121,1919,1,Substantial Alteration,Government,101+,Google Street View,POINT (-122.343327 47.615821)
Medium Risk,Cascade/Eastlake,2021 4th Ave,Seattle,WA,98121,1915,5,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.34078600000001 47.613481)
High Risk,First Hill,160 Broadway,Seattle,WA,98122,1922,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.32074400000002 47.603182)
Medium Risk,Downtown,110 Cherry St,Seattle,WA,98104,1903,3,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.333951 47.602711)
Medium Risk,Ballard,5348 Ballard Ave NW,Seattle,WA,98107,1900,2,No visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.384563 47.667494)
Medium Risk,Ballard,1903 NW Market St,Seattle,WA,98107,1909,3,No visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.381738 47.66865800000001)
High Risk,Green Lake,7220 Woodlawn Ave NE,Seattle,WA,98115,1921,2,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.325043 47.681015)
High Risk,Capitol Hill,1510 E Olive Way,Seattle,WA,98122,1924,3,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.325862 47.618237)
Medium Risk,Columbia City,4243 Rainier Ave S,Seattle,WA,98118,1926,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.28848000000002 47.565098)
Medium Risk,Ballard,2032 NW Market St,Seattle,WA,98107,1928,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.38380100000002 47.668698)
High Risk,Univ Dist,4759 15th Ave NE,Seattle,WA,98105,1927,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.31197100000001 47.663443)
Critical Risk,Madison Park,408 Lake Washington Blvd E,Seattle,WA,98112,1915,3,No visible retrofit,Schools,101+,Google Street View,POINT (-122.28479000000002 47.622496)
Medium Risk,Ballard,5233 Ballard Ave NW,Seattle,WA,98107,1900,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38299 47.666277)
High Risk,First Hill,615 8th Ave,Seattle,WA,98104,1929,1,No visible retrofit,Public Assembly,101+,Sandborn Insurance Maps,POINT (-122.32631400000001 47.605575)
Medium Risk,Capitol Hill,619 E Pine St,Seattle,WA,98122,1917,3,No visible retrofit,Commercial,101+,Photos from Previous Surveys,POINT (-122.32400500000001 47.615242)
Medium Risk,Madison Park,4218 E Madison St,Seattle,WA,98112,1919,1,No visible retrofit,Public Assembly,11-100,Field Visit,POINT (-122.27759099999999 47.636082)
Medium Risk,Pioneer Square/Chinatown International District,76 S Main St,Seattle,WA,98104,1907,3,Permitted Retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.335355 47.600046)
Critical Risk,Central Area/Squire Park,1700 E Jefferson St,Seattle,WA,98122,1910,1,No visible retrofit,Emergency,11-100,Field Visit,POINT (-122.309817 47.606174)
Medium Risk,Duwamish/SODO,2724 1st Ave S,Seattle,WA,98134,1926,1,No visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.33421999999999 47.578933000000006)
Medium Risk,Belltown,2212 1st Ave,Seattle,WA,98121,1909,3,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.345781 47.61293)
Medium Risk,Fremont,731 N 35th St,Seattle,WA,98103,1911,1,Permitted Retrofit,Government,11-100,Sandborn Insurance Maps,POINT (-122.34835599999998 47.650284)
Medium Risk,Pioneer Square/Chinatown International District,107 Occidental Ave S,Seattle,WA,98104,1900,1,Visible retrofit,Commercial,101+,Field Visit,POINT (-122.33292599999999 47.601346)
Medium Risk,Queen Anne,124 Warren Ave N,Seattle,WA,98109,1930,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.354151 47.619343)
High Risk,Judkins Park,1427 S Main St,Seattle,WA,98144,1947,1,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.31264999999999 47.600019)
Medium Risk,Montlake/Portage Bay,2351 10th Ave E,Seattle,WA,98102,1930,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.32007 47.641148)
Medium Risk,Pioneer Square/Chinatown International District,211 S Washington St,Seattle,WA,98104,1936,2,Visible retrofit,Office,11-100,Google Street View,POINT (-122.33076700000001 47.600913)
Medium Risk,Belltown,2604 1st Ave,Seattle,WA,98121,1903,3,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.34971500000002 47.615258)
Medium Risk,Cascade/Eastlake,601 Eastlake Ave E,Seattle,WA,98109,1908,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.32917900000001 47.624553)
Medium Risk,Queen Anne,731 Westlake Ave N,Seattle,WA,98109,1921,2,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.33910200000001 47.62639)
High Risk,Cascade/Eastlake,330 5th Ave N,Seattle,WA,98109,1929,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.347603 47.621586)
Medium Risk,Capitol Hill,915 E Pine St,Seattle,WA,98122,1908,4,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.319851 47.615252)
Medium Risk,Univ Dist,4000 University Way NE,Seattle,WA,98105,1908,4,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.31328600000002 47.655491)
Medium Risk,West Seattle Junction/Genesee Hill,4535 California Ave SW,Seattle,WA,98116,1924,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.386777 47.561834)
Critical Risk,Queen Anne,3307 3rd Ave W,Seattle,WA,98119,1891,4,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.360883 47.650056)
Medium Risk,Duwamish/SODO,4003 Airport Way S,Seattle,WA,98108,1911,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.322678 47.567854)
High Risk,Downtown,1426 1st Ave,Seattle,WA,98101,1916,2,Visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.33988000000001 47.608639)
Medium Risk,Capitol Hill,303 Harvard Ave E,Seattle,WA,98102,1949,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.32209500000002 47.621086)
Medium Risk,Pioneer Square/Chinatown International District,315 2nd Ave S,Seattle,WA,98104,1900,3,Substantial Alteration,Commercial/Office,101+,Field Visit,POINT (-122.331591 47.599537)
Medium Risk,Pioneer Square/Chinatown International District,1041 S King St,Seattle,WA,98104,1911,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31778400000002 47.598334)
Critical Risk,Fauntleroy/Seaview,4320 SW Myrtle St,Seattle,WA,98136,1910,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.388925 47.539857000000005)
Critical Risk,Green Lake,520 NE Ravenna Blvd,Seattle,WA,98115,1927,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.32288600000001 47.676999)
Medium Risk,Pioneer Square/Chinatown International District,311 Occidental Ave S,Seattle,WA,98104,1900,3,No visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.332904 47.599535)
Medium Risk,Univ Dist,4529 17th Ave NE,Seattle,WA,98105,1922,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.309672 47.662113)
Medium Risk,Capitol Hill,814 E Pike St,Seattle,WA,98122,1912,2,Substantial Alteration,Commercial/Office,101+,Google Street View,POINT (-122.321242 47.614077)
Medium Risk,Ballard,5405 Leary Ave NW,Seattle,WA,98107,1904,2,Substantial Alteration,Commercial/Office,101+,Field Visit,POINT (-122.382549 47.667024)
Medium Risk,Downtown,619 3rd Ave,Seattle,WA,98104,1911,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.33188 47.603252)
Medium Risk,Pioneer Square/Chinatown International District,614 S Jackson St,Seattle,WA,98104,1910,3,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.32543499999998 47.599197)
Medium Risk,Ballard,2318 NW Market St,Seattle,WA,98107,1911,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.38714700000001 47.668701000000006)
Medium Risk,Queen Anne,1506 Queen Anne Ave N,Seattle,WA,98109,1924,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.35695400000002 47.632384)
Medium Risk,Belltown,2018 1st Ave,Seattle,WA,98121,1908,3,Permitted Retrofit,Commercial/Office,11-100,Photos from Previous Surveys,POINT (-122.343373 47.611495)
High Risk,First Hill,808 9th Ave,Seattle,WA,98104,1904,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.326082 47.607057)
Medium Risk,South Park,8601 8th Ave S,Seattle,WA,98108,1905,2,No visible retrofit,Commercial/Residential,1-10,Google Street View,POINT (-122.32292400000001 47.52625100000001)
High Risk,Capitol Hill,1213 E Pine St,Seattle,WA,98122,1927,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.31594100000001 47.615265)
Critical Risk,North Capitol Hill,1058 E Mercer St,Seattle,WA,98102,1919,3,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.318305 47.62427)
Medium Risk,Pioneer Square/Chinatown International District,81 S Washington St,Seattle,WA,98104,1900,3,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.335023 47.600875)
Medium Risk,Downtown,521 3rd Ave,Seattle,WA,98104,1900,4,No visible retrofit,Commercial/Residential,101+,Photos from Previous Surveys,POINT (-122.33103 47.602307)
Medium Risk,West Seattle Junction/Genesee Hill,2701 California Ave SW,Seattle,WA,98116,1930,3,No visible retrofit,Other Mixed Uses,11-100,Field Visit,POINT (-122.386628 47.579153000000005)
Medium Risk,Cascade/Eastlake,2121 Westlake Ave,Seattle,WA,98121,1925,4,Substantial Alteration,Commercial/Office,101+,Permit Drawing Review,POINT (-122.338293 47.61740700000001)
Medium Risk,Capitol Hill,214 Summit Ave E,Seattle,WA,98102,1917,4,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,POINT (-122.325322 47.62017)
Medium Risk,Capitol Hill,1520 Bellevue Ave,Seattle,WA,98122,1918,2,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.326835 47.614795)
Medium Risk,Cascade/Eastlake,133 Dexter Ave N,Seattle,WA,98109,1931,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.342406 47.619545)
Medium Risk,Downtown,1534 Pike Pl,Seattle,WA,98101,1910,3,Substantial Alteration,Commercial/Residential,11-100,Google Street View,POINT (-122.34159100000001 47.609298)
Medium Risk,Ballard,2228 NW Market St,Seattle,WA,98107,1928,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.386113 47.668704000000005)
Medium Risk,Cascade/Eastlake,1932 9th Ave,Seattle,WA,98101,1917,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.335555 47.616262)
Medium Risk,Belltown,81 Vine St,Seattle,WA,98121,1914,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.350258 47.614774)
Medium Risk,Wallingford,4135 Stone Way N,Seattle,WA,98103,1912,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.34232699999998 47.657744)
Medium Risk,Capitol Hill,1550 E Olive Way,Seattle,WA,98102,1924,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.32556 47.618602)
Medium Risk,Ballard,5130 Ballard Ave NW,Seattle,WA,98107,1900,1,Visible retrofit,Commercial,101+,Field Visit,POINT (-122.38185600000001 47.66527)
Medium Risk,Capitol Hill,1421 15th Ave,Seattle,WA,98122,1907,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.312786 47.613618)
Medium Risk,Duwamish/SODO,85 S Lander St,Seattle,WA,98134,1926,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.33469099999999 47.579804)
High Risk,Queen Anne,509 Queen Anne Ave N,Seattle,WA,98109,1926,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.35672000000001 47.623533)
Medium Risk,Duwamish/SODO,1003 6th Ave S,Seattle,WA,98134,1928,2,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.325986 47.594426)
